date,close,volume,sharesOutstanding,freeCashFlow,totalDebt,cashAndCashEquivalents,symbol
2022-07-29,18.136838912963867,435460000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-08-01,18.4144344329834,476469000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-08-02,18.499313354492188,489527000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-08-03,18.865787506103516,418146000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-08-04,19.18732261657715,409652000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-08-05,18.961650848388672,386068000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-08-08,17.767372131347656,981859000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-08-09,17.06138801574707,668263000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-08-10,18.070934295654297,597422000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-08-11,17.91615104675293,509327000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-08-12,18.68205451965332,478094000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-08-15,19.00458526611328,457666000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-08-16,18.851804733276367,451240000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-08-17,18.308589935302734,446799000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-08-18,18.745960235595703,415447000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-08-19,17.823291778564453,441588000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-08-22,17.009462356567383,409593000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-08-23,17.156253814697266,369986000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-08-24,17.197193145751953,522661000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-08-25,17.8872013092041,770691000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-08-26,16.236581802368164,769127000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-08-29,15.778239250183104,496132000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-08-30,15.445719718933104,530181000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-08-31,15.072257995605469,573710000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-09-01,13.916926383972168,1178865000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-09-02,13.627345085144045,743157000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-09-06,13.44560432434082,535751000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-09-07,13.69831657409668,512657000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-09-08,13.974000930786133,624873000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-09-09,14.3705472946167,486612000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-09-12,14.488411903381348,484159000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-09-13,13.115981101989746,714956000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-09-14,13.112984657287598,588507000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-09-15,12.914214134216309,523625000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-09-16,13.182906150817873,670751000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-09-19,13.36669635772705,569685000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-09-20,13.160930633544922,524818000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-09-21,13.245834350585938,807679000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-09-22,12.546634674072266,759162000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-09-23,12.50168514251709,663309000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-09-26,12.214014053344728,547343000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-09-27,12.3988037109375,553854000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-09-28,12.721433639526367,542414000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-09-29,12.206027030944824,532763000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-09-30,12.125117301940918,565638000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-10-03,12.497690200805664,547478000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
2022-10-04,13.15194034576416,584182000,24960000000.0,8132000000.0,11831000000.0,1990000000.0,NVDA
