date,close,volume,pe_ratio,eps,beta
2024-12-27 00:00:00-05:00,136.98788452148438,170582600,46.92903,3.1,2.122
2024-12-30 00:00:00-05:00,137.46780395507812,167734700,46.92903,3.1,2.122
2024-12-31 00:00:00-05:00,134.26832580566406,155659200,46.92903,3.1,2.122
2025-01-02 00:00:00-05:00,138.2876739501953,198247200,46.92903,3.1,2.122
2025-01-03 00:00:00-05:00,144.44668579101562,229322500,46.92903,3.1,2.122
2025-01-06 00:00:00-05:00,149.40586853027344,265377400,46.92903,3.1,2.122
2025-01-07 00:00:00-05:00,140.11737060546875,351782200,46.92903,3.1,2.122
2025-01-08 00:00:00-05:00,140.08738708496094,227349900,46.92903,3.1,2.122
2025-01-10 00:00:00-05:00,135.88807678222656,207602500,46.92903,3.1,2.122
2025-01-13 00:00:00-05:00,133.20849609375,204808900,46.92903,3.1,2.122
2025-01-14 00:00:00-05:00,131.7387237548828,195590500,46.92903,3.1,2.122
2025-01-15 00:00:00-05:00,136.218017578125,185217300,46.92903,3.1,2.122
2025-01-16 00:00:00-05:00,133.54844665527344,209235600,46.92903,3.1,2.122
2025-01-17 00:00:00-05:00,137.68777465820312,201188800,46.92903,3.1,2.122
2025-01-21 00:00:00-05:00,140.80726623535156,197749000,46.92903,3.1,2.122
2025-01-22 00:00:00-05:00,147.04627990722656,237651400,46.92903,3.1,2.122
2025-01-23 00:00:00-05:00,147.1962432861328,155915500,46.92903,3.1,2.122
2025-01-24 00:00:00-05:00,142.5969696044922,234657600,46.92903,3.1,2.122
2025-01-27 00:00:00-05:00,118.40087890625,818830900,46.92903,3.1,2.122
2025-01-28 00:00:00-05:00,128.9691925048828,579666400,46.92903,3.1,2.122
2025-01-29 00:00:00-05:00,123.6800308227539,467120600,46.92903,3.1,2.122
2025-01-30 00:00:00-05:00,124.6298828125,392925500,46.92903,3.1,2.122
2025-01-31 00:00:00-05:00,120.05062103271484,390372900,46.92903,3.1,2.122
2025-02-03 00:00:00-05:00,116.64117431640625,371235700,46.92903,3.1,2.122
2025-02-04 00:00:00-05:00,118.63085174560547,256550000,46.92903,3.1,2.122
2025-02-05 00:00:00-05:00,124.80985260009766,262230800,46.92903,3.1,2.122
2025-02-06 00:00:00-05:00,128.65921020507812,251483600,46.92903,3.1,2.122
2025-02-07 00:00:00-05:00,129.81903076171875,228186300,46.92903,3.1,2.122
2025-02-10 00:00:00-05:00,133.54844665527344,216989100,46.92903,3.1,2.122
2025-02-11 00:00:00-05:00,132.77857971191406,178902400,46.92903,3.1,2.122
2025-02-12 00:00:00-05:00,131.11883544921875,160278600,46.92903,3.1,2.122
2025-02-13 00:00:00-05:00,135.26815795898438,197430000,46.92903,3.1,2.122
2025-02-14 00:00:00-05:00,138.8275909423828,195479600,46.92903,3.1,2.122
2025-02-18 00:00:00-05:00,139.37750244140625,219176600,46.92903,3.1,2.122
2025-02-19 00:00:00-05:00,139.20751953125,167536000,46.92903,3.1,2.122
2025-02-20 00:00:00-05:00,140.08738708496094,143903600,46.92903,3.1,2.122
2025-02-21 00:00:00-05:00,134.40829467773438,228217600,46.92903,3.1,2.122
2025-02-24 00:00:00-05:00,130.25897216796875,251381100,46.92903,3.1,2.122
2025-02-25 00:00:00-05:00,126.60956573486328,271428700,46.92903,3.1,2.122
2025-02-26 00:00:00-05:00,131.25881958007812,322553800,46.92903,3.1,2.122
2025-02-27 00:00:00-05:00,120.130615234375,443175800,46.92903,3.1,2.122
2025-02-28 00:00:00-05:00,124.89983367919922,389091100,46.92903,3.1,2.122
2025-03-03 00:00:00-05:00,114.04158782958984,411381400,46.92903,3.1,2.122
2025-03-04 00:00:00-05:00,115.97127532958984,398163300,46.92903,3.1,2.122
2025-03-05 00:00:00-05:00,117.28106689453125,284337900,46.92903,3.1,2.122
2025-03-06 00:00:00-05:00,110.55215454101562,321181900,46.92903,3.1,2.122
2025-03-07 00:00:00-05:00,112.67181396484375,341755500,46.92903,3.1,2.122
2025-03-10 00:00:00-04:00,106.96273040771484,366487400,46.92903,3.1,2.122
2025-03-11 00:00:00-04:00,108.74244689941406,354865700,46.92903,3.1,2.122
2025-03-12 00:00:00-04:00,115.73196411132812,323857500,46.92903,3.1,2.122
2025-03-13 00:00:00-04:00,115.57197570800781,299033100,46.92903,3.1,2.122
2025-03-14 00:00:00-04:00,121.66155242919922,277593500,46.92903,3.1,2.122
2025-03-17 00:00:00-04:00,119.52169799804688,255501500,46.92903,3.1,2.122
2025-03-18 00:00:00-04:00,115.42198181152344,299686900,46.92903,3.1,2.122
2025-03-19 00:00:00-04:00,117.51183319091797,273426200,46.92903,3.1,2.122
2025-03-20 00:00:00-04:00,118.52176666259766,248829700,46.92903,3.1,2.122
2025-03-21 00:00:00-04:00,117.69182586669922,266498500,46.92903,3.1,2.122
2025-03-24 00:00:00-04:00,121.40157318115234,228452500,46.92903,3.1,2.122
2025-03-25 00:00:00-04:00,120.68162536621094,167447200,46.92903,3.1,2.122
2025-03-26 00:00:00-04:00,113.75210571289062,293463300,46.92903,3.1,2.122
2025-03-27 00:00:00-04:00,111.4222640991211,236902100,46.92903,3.1,2.122
2025-03-28 00:00:00-04:00,109.66238403320312,229872500,46.92903,3.1,2.122
2025-03-31 00:00:00-04:00,108.37247467041016,299212700,46.92903,3.1,2.122
2025-04-01 00:00:00-04:00,110.14234924316406,222614000,46.92903,3.1,2.122
2025-04-02 00:00:00-04:00,110.4123306274414,220601200,46.92903,3.1,2.122
2025-04-03 00:00:00-04:00,101.79293060302734,338769400,46.92903,3.1,2.122
2025-04-04 00:00:00-04:00,94.30345153808594,532273800,46.92903,3.1,2.122
2025-04-07 00:00:00-04:00,97.63321685791016,611041300,46.92903,3.1,2.122
2025-04-08 00:00:00-04:00,96.29331970214844,476243400,46.92903,3.1,2.122
2025-04-09 00:00:00-04:00,114.32205963134766,612918300,46.92903,3.1,2.122
2025-04-10 00:00:00-04:00,107.56253051757812,437812400,46.92903,3.1,2.122
2025-04-11 00:00:00-04:00,110.92229461669922,313417300,46.92903,3.1,2.122
2025-04-14 00:00:00-04:00,110.70230865478516,264705000,46.92903,3.1,2.122
2025-04-15 00:00:00-04:00,112.19220733642578,228966900,46.92903,3.1,2.122
2025-04-16 00:00:00-04:00,104.48274230957031,397016900,46.92903,3.1,2.122
2025-04-17 00:00:00-04:00,101.48294830322266,290833400,46.92903,3.1,2.122
2025-04-21 00:00:00-04:00,96.90327453613281,288501100,46.92903,3.1,2.122
2025-04-22 00:00:00-04:00,98.88313293457031,241004800,46.92903,3.1,2.122
2025-04-23 00:00:00-04:00,102.70286560058594,247526000,46.92903,3.1,2.122
2025-04-24 00:00:00-04:00,106.422607421875,220815000,46.92903,3.1,2.122
2025-04-25 00:00:00-04:00,111.0022964477539,251064700,46.92903,3.1,2.122
2025-04-28 00:00:00-04:00,108.72245025634766,207708500,46.92903,3.1,2.122
2025-04-29 00:00:00-04:00,109.0124282836914,170444300,46.92903,3.1,2.122
2025-04-30 00:00:00-04:00,108.91243743896484,235044600,46.92903,3.1,2.122
2025-05-01 00:00:00-04:00,111.60224914550781,236121500,46.92903,3.1,2.122
2025-05-02 00:00:00-04:00,114.49205017089844,190194800,46.92903,3.1,2.122
2025-05-05 00:00:00-04:00,113.81209564208984,133163200,46.92903,3.1,2.122
2025-05-06 00:00:00-04:00,113.53211975097656,158525600,46.92903,3.1,2.122
2025-05-07 00:00:00-04:00,117.05187225341797,206758800,46.92903,3.1,2.122
2025-05-08 00:00:00-04:00,117.36185455322266,198428100,46.92903,3.1,2.122
2025-05-09 00:00:00-04:00,116.64189910888672,132972200,46.92903,3.1,2.122
2025-05-12 00:00:00-04:00,122.99146270751953,225023300,46.92903,3.1,2.122
